Category,Item,Variant,Price
Side Orders,Cheese Bread,"10""",10.95
Side Orders,Cheese Bread,"14""",12.95
Submarines,Chicken Parmesan Sub,,13.02
Submarines,Chicken Tender Sub,,13.02
Submarines,Italian,,11.93
Submarines,Turkey,,10.37
Submarines,Steak & Cheese,,14.98
Submarines,Steak & Cheese,with Mushrooms,15.93
Submarines,Ham & Cheese,,10.37
Submarines,Pizza,,13.12
Submarines,Vegetarian,,10.37
Submarines,Meatball,,13.85
Submarines,Deluxe,,13.85
Sandwiches,Fish Sandwich,,7.81
Sandwiches,Fish Sandwich Deluxe,,10.17
Sandwiches,1/2 lb. Charburger,,10.26
Sandwiches,Charburger Deluxe,,14.57
Sandwiches,Cheese,,0.70
Pasta,Add Baked Cheese To Any Pasta,Pint,2.54
Pasta,Add Baked Cheese To Any Pasta,Quart,3.48
Pasta,Add Baked Cheese To Any Pasta,Bucket,5.45
Pasta,Spaghetti/Mostaccioli,with Mushrooms (1 Serving),8.71
Pasta,Spaghetti/Mostaccioli,with Mushrooms (1-2 Servings),14.17
Pasta,Spaghetti/Mostaccioli,with Meatballs (1 Serving),9.34
Pasta,Spaghetti/Mostaccioli,with Meatballs (1-2 Servings),14.95
Pasta,Spaghetti/Mostaccioli,with Meatballs & Mushrooms (1 Serving),10.58
Pasta,Spaghetti/Mostaccioli,with Meatballs & Mushrooms (1-2 Servings),16.19
Pasta,Bucket of Spaghetti or Mostaccioli,(serves 3-5),29.52
Pasta,Add Meatballs,Quantity 4,5.71
Pasta,Add Mushrooms,,3.14
Pasta,Ravioli (Meat or Cheese),(1 Serving),10.39
Pasta,Ravioli (Meat or Cheese),(1-2 Servings),15.70
Pasta,Ravioli (Meat or Cheese),with Mushrooms (1 Serving),11.09
Pasta,Ravioli (Meat or Cheese),with Mushrooms (1-2 Servings),16.82
Pasta,Ravioli (Meat or Cheese),with Meatballs (1 Serving),11.51
Pasta,Ravioli (Meat or Cheese),with Meatballs (1-2 Servings),17.84
Pasta,Ravioli (Meat or Cheese),with Meatballs & Mushrooms (1 Serving),12.41
Pasta,Ravioli (Meat or Cheese),with Meatballs & Mushrooms (1-2 Servings),19.22
Pasta,Bucket of Ravioli,(Serves 3-5),35.20
Pasta,Add Meatballs,-4,5.71
Pasta,Add Mushrooms,,3.14
Pasta,Lasagna,,15.47
Specialty Pizzas,BBQ Chicken,Small,15.98
Specialty Pizzas,BBQ Chicken,Medium,19.67
Specialty Pizzas,BBQ Chicken,Large,23.72
Specialty Pizzas,BBQ Chicken,XLarge (Round Only),28.64
Specialty Pizzas,Hawaiian,Small,14.58
Specialty Pizzas,Hawaiian,Medium,17.90
Specialty Pizzas,Hawaiian,Large,21.69
Specialty Pizzas,Hawaiian,XLarge (Round Only),26.31
Specialty Pizzas,BLT,Small,15.98
Specialty Pizzas,BLT,Medium,19.67
Specialty Pizzas,BLT,Large,23.72
Specialty Pizzas,BLT,XLarge (Round Only),28.64
Specialty Pizzas,Primo's Special,Small,18.68
Specialty Pizzas,Primo's Special,Medium,23.35
Specialty Pizzas,Primo's Special,Large,27.56
Specialty Pizzas,Primo's Special,XLarge (Round Only),33.31
Specialty Pizzas,Primo's Supreme,Small,20.08
Specialty Pizzas,Primo's Supreme,Medium,25.17
Specialty Pizzas,Primo's Supreme,Large,29.52
Specialty Pizzas,Primo's Supreme,XLarge (Round Only),35.65
Specialty Pizzas,Green Pizza,Small,13.18
Specialty Pizzas,Green Pizza,Medium,16.14
Specialty Pizzas,Green Pizza,Large,19.67
Specialty Pizzas,Green Pizza,XLarge (Round Only),23.97
Round Pizza,Cheese,"Small 12""/8pc",11.78
Round Pizza,Cheese,"Medium 14""/10pc",14.38
Round Pizza,Cheese,"Large 16""/12pc",17.64
Round Pizza,Cheese,"XLarge 18""/14pc",21.64
Round Pizza,Extra Items,Small,1.61
Round Pizza,Extra Items,Medium,2.02
Round Pizza,Extra Items,Large,2.33
Round Pizza,Extra Items,XLarge,2.68
Square Pizza,Cheese,"Small 7x9""/6pc",11.78
Square Pizza,Cheese,"Medium 9x13""/8pc",14.38
Square Pizza,Cheese,"Large 11x16""/12pc",17.64
Square Pizza,Extra Items,Small,1.77
Square Pizza,Extra Items,Medium,2.23
Square Pizza,Extra Items,Large,2.56
Tray Pizza,Cheese,18x24,31.03
Tray Pizza,Extra Items,,4.98
Tray Pizza,Primo's Special,,53.76
Tray Pizza,Primo's Supreme,,58.35
Stuffed Pizza,Cheese,,8.83
Stuffed Pizza,Extra Items,,0.59
Stuffed Pizza,Primo's Special,,13.12
Stuffed Pizza,Primo's Supreme,,14.21
Salads,Tossed,Small,5.60
Salads,Tossed,Medium,7.79
Salads,Tossed,Large,11.75
Salads,Antipasto,Small,6.17
Salads,Antipasto,Medium,10.22
Salads,Antipasto,Large,14.50
Salads,Greek,Small,6.17
Salads,Greek,Medium,10.22
Salads,Greek,Large,14.50
Salads,Grilled Chicken,Small,7.79
Salads,Grilled Chicken,Medium,11.36
Salads,Grilled Chicken,Large,17.19
Salads,Add Chicken to Any Salad,Small,2.21
Salads,Add Chicken to Any Salad,Medium,2.57
Salads,Add Chicken to Any Salad,Large,2.81
Side Orders,Cole Slaw,Pint,2.95
Side Orders,Onion Rings,,5.14
Side Orders,French Fries,,3.11
Side Orders,Pizza by the Slice,,4.00
Side Orders,Deep Fried Mushrooms,,5.24
Side Orders,Seasoned Potato Wedges,,4.72
Side Orders,Garlic Sticks,1/2 Dozen,3.87
Side Orders,Garlic Sticks,1 Dozen,5.91
Side Orders,Garlic Sticks with Baked Mozzarella,1/2 Dozen,6.37
Side Orders,Garlic Sticks with Baked Mozzarella,1 Dozen,10.56
Side Orders,Deep Fried Cheese Stix,,5.71
Side Orders,Pizza Sauce,,0.75
Side Orders,Ranch,,1.25
Side Orders,Garlic Cheese,,2.00
Side Orders,Extra Garlic Stick,,0.75
BBQ Ribs,Whole Slab,(for two),33.05
BBQ Ribs,Short Ends,(9 bones),17.96
BBQ Ribs,Long Ends,(9 bones),16.29
BBQ Ribs,Rib Snacks,(5 bones),13.18
Broasted Chicken,Chicken Dinner,(4 pc.),13.08
Broasted Chicken,Chicken Snack,(2 pc.),9.60
Broasted Chicken,8 Pieces,,21.23
Broasted Chicken,16 Pieces,,31.76
Broasted Chicken,20 Pieces,,35.90
Broasted Chicken,24 Pieces,,40.01
Chicken Tenders,6 Pieces,,11.84
Chicken Tenders,12 Pieces,,19.06
Chicken Tenders,18 Pieces,,25.00
Chicken Tenders,24 Pieces,,30.14
Wing Dings,6 Wing Dings,,7.73
Wing Dings,12 Wing Dings,,14.27
Wing Dings,24 Wing Dings,,24.90
Wing Dings,36 Wing Dings,,37.26
Combination Plates,Ribs & Chicken,,18.44
Combination Plates,Ribs & Shrimp,,18.44
Combination Plates,Chicken & Shrimp,,15.81
Combination Plates,Ribs & Fish,,18.44
Combination Plates,Chicken & Fish,,15.81
Combination Plates,Shrimp & Frog Legs,,19.28
Combination Plates,Primo Smorg,,26.02
Seafood,Lake Perch,(6 pcs.),15.33
Seafood,21 Shrimp in the Basket,,13.33
Seafood,Shrimp Dinner,(7 pcs.),14.84
Seafood,Fish Snack,(2 pcs.),11.64
Seafood,Fish & Chips,(4 pcs.),15.81
Seafood,Jumbo Frog Legs,,19.75
Seafood,Cod 10 Piece Basket,,32.22
Hand Battered Shrimp,Regular or Cajun,1/4 lb.,13.90
Hand Battered Shrimp,Regular or Cajun,1/2 lb.,19.70
Hand Battered Shrimp,Regular or Cajun,3/4 lb.,25.36
Hand Battered Shrimp,Regular or Cajun,1 lb.,34.19
Hand Battered Shrimp,Bucket of Jumbo Shrimp,(16 pcs.),30.25
Desserts,Cheese Cake,(Strawberry & Cherry),6.25
Desserts,Cookies,"(Oatmeal, Chocolate Chip & White Chocolate Macadamia Nut)",2.00
Desserts,Oreo Pie,,6.25
U Bake Pizza,Cheese,"13""x9"" Small",7.54
U Bake Pizza,Cheese,"18""x13"" Large",10.56
U Bake Pizza,Extra Items,Small,1.10
U Bake Pizza,Extra Items,Large,1.65
U Bake Pizza,U Bake Primo's Special,Small,13.04
U Bake Pizza,U Bake Primo's Special,Large,18.81
U Bake Pizza,U Bake Primo's Supreme,Small,14.69
U Bake Pizza,U Bake Primo's Supreme,Large,21.29
